"SOLUCION [10.0, 0.0]"
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"X33m int#3";"[0.36034604622720806]";"[0.4705953110257365]";"[0.49011299575048006]";"[0.45977011625604014]";"[0.5188912444202668]";"[0.3272800169702797]";"[0.5108286266947847]";"[0.45977011625604014]"
"S13m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S23m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S33m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q13m int#1";"[236.53846153846152]";"[608.7692307692308]";"[81.0]";"[341.2307692307692]";"[152.23076923076923]";"[945.0]";"[84.84615384615384]";"[325.6923076923076]"
"q23m int#2";"[190.84615384615384]";"[731.7692307692307]";"[78.23076923076921]";"[327.3846153846154]";"[183.46153846153848]";"[761.0000000000001]";"[81.76923076923076]";"[312.6153846153845]"
"q33m int#3";"[157.0]";"[903.0]";"[80.0769230769231]";"[336.00000000000006]";"[226.07692307692307]";"[628.0]";"[83.46153846153847]";"[336.00000000000006]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g14m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.00001070826309]";"[24.000010279932567]"
"g24m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.00001070826309]";"[24.000010279932567]"
"g34m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.00001070826309]";"[24.000010279932567]"
"X14m int#1";"[0.5385511023480345]";"[0.3045589686834105]";"[0.6169492541801243]";"[0.5349161618325933]";"[0.34097712496703697]";"[0.48061298312160855]";"[0.6593221425166713]";"[0.5003649793479894]"
"X24m int#2";"[0.4608051606599486]";"[0.41102933209563186]";"[0.4948211737967876]";"[0.45470217712044597]";"[0.4353814276580204]";"[0.434831701220341]";"[0.527307054854807]";"[0.4255104189816388]"
"X34m int#3";"[0.37870768950788886]";"[0.4862297854544755]";"[0.5056498008161275]";"[0.48303237295307305]";"[0.5361935911587218]";"[0.34395676141474163]";"[0.5367232522629287]";"[0.48303237295307305]"
"S14m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S24m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S34m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q14m int#1";"[249.3076923076923]";"[631.1538461538463]";"[84.0]";"[360.8461538461538]";"[157.84615384615384]";"[996.0]";"[89.76923076923077]";"[337.53846153846143]"
"q24m int#2";"[200.76923076923077]";"[757.1538461538461]";"[80.84615384615383]";"[345.0769230769231]";"[189.6923076923077]";"[801.0000000000001]";"[86.15384615384615]";"[322.92307692307685]"
"q34m int#3";"[165.00000000000003]";"[932.9999999999999]";"[82.61538461538463]";"[353.00000000000006]";"[233.6153846153846]";"[660.0000000000001]";"[87.69230769230771]";"[353.00000000000006]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g15m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.00019015440868]";"[24.00018254823234]"
"g25m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.00019015440868]";"[24.00018254823234]"
"g35m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.00019015440868]";"[24.00018254823234]"
"X15m int#1";"[0.5661365847484991]";"[0.3153613822499849]";"[0.6389849201619836]";"[0.5639954466894469]";"[0.3531083776315117]";"[0.5052240788376346]";"[0.6954822605830256]";"[0.5179270761956061]"
"X25m int#2";"[0.4835819231663554]";"[0.4248108238385984]";"[0.5108301196402536]";"[0.4780163591836155]";"[0.4496835189137303]";"[0.45654740362011187]";"[0.5541447472963857]";"[0.4390939075452547]"
"X35m int#3";"[0.39707037064663503]";"[0.5018655692018084]";"[0.5211879653841115]";"[0.5062959529521119]";"[0.5534973819373946]";"[0.36063444848146575]";"[0.5626193483595423]";"[0.5062959529521119]"
"S15m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S25m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S35m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q15m int#1";"[262.0769230769231]";"[653.5384615384617]";"[86.99999999999999]";"[380.4615384615384]";"[163.46153846153845]";"[1047.0]";"[94.6923076923077]";"[349.3846153846153]"
"q25m int#2";"[210.6923076923077]";"[782.5384615384614]";"[83.46153846153844]";"[362.76923076923083]";"[195.92307692307696]";"[841.0000000000002]";"[90.53846153846153]";"[333.2307692307691]"
"q35m int#3";"[173.00000000000003]";"[962.9999999999999]";"[85.15384615384617]";"[370.00000000000006]";"[241.15384615384613]";"[692.0000000000001]";"[91.92307692307695]";"[370.00000000000006]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g16m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.00177095093473]";"[24.00170011289734]"
"g26m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.00177095093473]";"[24.00170011289734]"
"g36m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.00177095093473]";"[24.00170011289734]"
"X16m int#1";"[0.5937350195763728]";"[0.32617088726015675]";"[0.661034958823065]";"[0.5930876782658475]";"[0.36524757151661563]";"[0.5298467332140065]";"[0.7316583518597173]";"[0.5355008146772582]"
"X26m int#2";"[0.5063697280727967]";"[0.4386018473318655]";"[0.5268505120534256]";"[0.5013414782119477]";"[0.4639956922508054]";"[0.4782735368458401]";"[0.5809951133815258]";"[0.4526872304275288]"
"X36m int#3";"[0.4154421095381069]";"[0.5175125961457461]";"[0.5367377870785572]";"[0.5295710782285324]";"[0.5708135742187417]";"[0.37732036214453196]";"[0.5885282753054355]";"[0.5295710782285324]"
